DTIME;TT
2020-06-02 17:00:00;
2020-06-02 18:00:00;24.759811111111105
2020-06-02 19:00:00;23.174880555555546
2020-06-02 20:00:00;21.53146666666677
2020-06-02 21:00:00;20.72867777777789
2020-06-02 22:00:00;19.906131183991153
2020-06-02 23:00:00;18.86206388888905
2020-06-03 00:00:00;17.943016666666804
2020-06-03 01:00:00;17.36842500000016
2020-06-03 02:00:00;17.13878333333336
2020-06-03 03:00:00;16.610269444444583
2020-06-03 04:00:00;16.88470000000006
2020-06-03 05:00:00;17.684556821339452
2020-06-03 06:00:00;18.823800000000187
2020-06-03 07:00:00;20.0185472222222
2020-06-03 08:00:00;21.66241388888901
2020-06-03 09:00:00;23.359305555555693
2020-06-03 10:00:00;24.349927777777904
2020-06-03 11:00:00;25.069825000000275
2020-06-03 12:00:00;25.45657500000016
2020-06-03 13:00:00;25.955818282856534
2020-06-03 14:00:00;25.758663888889117
2020-06-03 15:00:00;23.45320000000022
2020-06-03 16:00:00;16.25142500000014
2020-06-03 17:00:00;16.213741666666625
2020-06-03 18:00:00;16.41353987218671
2020-06-03 19:00:00;16.705359822172877
2020-06-03 20:00:00;17.513786111111216
2020-06-03 21:00:00;17.153569444444475
2020-06-03 22:00:00;17.0907388888889
2020-06-03 23:00:00;16.299416666666627
2020-06-04 00:00:00;15.709519310919587
2020-06-04 01:00:00;15.484031675465369
2020-06-04 02:00:00;14.87336944444435
2020-06-04 03:00:00;14.490991942206291
2020-06-04 04:00:00;14.405250000000205
2020-06-04 05:00:00;14.791080555555592
2020-06-04 06:00:00;15.27103333333346
2020-06-04 07:00:00;16.044124361670306
2020-06-04 08:00:00;
2020-06-04 09:00:00;
2020-06-04 10:00:00;
2020-06-04 11:00:00;
2020-06-04 12:00:00;
2020-06-04 13:00:00;
2020-06-04 14:00:00;
2020-06-04 15:00:00;
2020-06-04 16:00:00;
2020-06-04 17:00:00;
2020-06-04 18:00:00;
2020-06-04 19:00:00;
2020-06-04 20:00:00;
2020-06-04 21:00:00;
2020-06-04 22:00:00;
2020-06-04 23:00:00;
2020-06-05 00:00:00;
2020-06-05 01:00:00;
